participant_id,condition,video_type,deepfake_true,deepfake_perceived,correct,reaction_time_ms,engagement_rating,EEG_attention,content_recall
1,Familiar,Educational,0,1,0,1081,6.3,0.499,0
1,Familiar,Educational,0,0,1,1233,8.7,0.511,0
1,Familiar,Political,0,1,0,1157,7.4,0.582,1
1,Familiar,Political,0,1,0,726,5.1,0.405,0
1,Familiar,Educational,0,0,1,1226,6.6,0.478,0
1,Familiar,Entertainment,1,1,1,326,10.0,0.426,0
1,Familiar,Political,1,1,1,756,7.0,0.6,1
1,Familiar,Entertainment,1,0,0,461,7.1,0.598,0
1,Familiar,Educational,0,0,1,1476,5.8,0.609,1
1,Familiar,Entertainment,0,0,1,1025,4.9,0.677,1
1,Familiar,Political,0,0,1,660,6.1,0.76,1
1,Familiar,Political,0,1,0,502,6.2,0.654,0
2,Familiar,Entertainment,0,0,1,818,8.6,0.466,0
2,Familiar,Political,1,1,1,863,8.3,0.485,1
2,Familiar,Educational,0,0,1,775,6.6,0.358,0
2,Familiar,Political,0,0,1,830,4.0,0.483,0
2,Familiar,Educational,1,1,1,656,6.1,0.369,0
2,Familiar,Political,1,1,1,570,7.4,0.562,1
2,Familiar,Entertainment,0,0,1,630,9.3,0.369,0
2,Familiar,Educational,0,0,1,525,7.3,0.64,0
2,Familiar,Entertainment,1,1,1,939,7.2,0.547,1
2,Familiar,Entertainment,1,0,0,532,9.4,0.539,0
2,Familiar,Entertainment,1,0,0,675,9.6,0.424,0
2,Familiar,Entertainment,0,0,1,987,7.6,0.458,1
3,Familiar,Entertainment,0,1,0,2187,7.2,0.301,0
3,Familiar,Political,1,1,1,1227,5.9,0.528,0
3,Familiar,Entertainment,0,0,1,514,8.3,0.414,0
3,Familiar,Entertainment,0,0,1,550,7.2,0.679,0
3,Familiar,Entertainment,0,0,1,428,5.2,0.483,0
3,Familiar,Political,0,0,1,672,4.9,0.798,0
3,Familiar,Educational,1,0,0,817,5.3,0.364,1
3,Familiar,Educational,0,0,1,645,7.0,0.586,0
3,Familiar,Educational,0,0,1,978,5.7,0.679,0
3,Familiar,Political,1,1,1,614,6.5,0.582,0
3,Familiar,Entertainment,1,1,1,609,7.6,0.53,0
3,Familiar,Entertainment,1,1,1,382,9.3,0.576,1
4,Unfamiliar,Entertainment,1,1,1,967,4.7,0.467,0
4,Unfamiliar,Educational,1,1,1,736,6.0,0.534,0
4,Unfamiliar,Political,0,1,0,1608,5.6,0.759,1
4,Unfamiliar,Political,0,0,1,1340,4.5,0.672,0
4,Unfamiliar,Political,0,0,1,1022,6.1,0.6,1
4,Unfamiliar,Educational,0,0,1,1535,7.8,0.674,1
4,Unfamiliar,Educational,0,0,1,931,5.0,0.707,0
4,Unfamiliar,Entertainment,0,1,0,1157,3.7,0.616,1
4,Unfamiliar,Political,1,1,1,914,5.1,0.864,1
4,Unfamiliar,Educational,0,0,1,978,3.4,0.667,1
4,Unfamiliar,Entertainment,0,0,1,1458,4.5,0.646,0
4,Unfamiliar,Entertainment,0,0,1,1280,8.5,0.716,0
5,Familiar,Entertainment,1,1,1,1003,7.1,0.706,1
5,Familiar,Entertainment,0,0,1,920,8.7,0.625,0
5,Familiar,Entertainment,0,0,1,492,8.8,0.533,0
5,Familiar,Entertainment,1,1,1,410,6.7,0.404,0
5,Familiar,Educational,0,0,1,727,5.4,0.758,1
5,Familiar,Educational,1,1,1,375,6.7,0.591,0
5,Familiar,Educational,1,0,0,1067,7.6,0.751,0
5,Familiar,Entertainment,0,0,1,661,6.3,0.459,0
5,Familiar,Educational,0,0,1,784,5.0,0.619,0
5,Familiar,Educational,0,0,1,331,8.2,0.375,0
5,Familiar,Educational,0,0,1,361,5.9,0.436,0
5,Familiar,Political,1,1,1,725,5.8,0.527,0
6,Unfamiliar,Educational,0,1,0,1901,5.3,0.679,0
6,Unfamiliar,Entertainment,0,0,1,1048,8.4,0.746,1
6,Unfamiliar,Political,0,1,0,858,3.3,0.63,0
6,Unfamiliar,Entertainment,1,0,0,692,7.4,0.95,1
6,Unfamiliar,Entertainment,1,0,0,683,7.6,0.461,0
6,Unfamiliar,Political,0,0,1,970,5.1,0.733,1
6,Unfamiliar,Educational,0,0,1,934,5.4,0.773,1
6,Unfamiliar,Political,1,0,0,1036,4.4,0.641,1
6,Unfamiliar,Educational,1,1,1,915,4.4,0.651,1
