country,variable,percentile,year,value
US,shweal992f,p0p50,1962,0.0137
US,shweal992f,p0p50,1963,0.0127
US,shweal992f,p0p50,1964,0.0118
US,shweal992f,p0p50,1965,0.0121
US,shweal992f,p0p50,1966,0.0125
US,shweal992f,p0p50,1967,0.0093
US,shweal992f,p0p50,1968,0.0096
US,shweal992f,p0p50,1969,0.0104
US,shweal992f,p0p50,1970,0.0107
US,shweal992f,p0p50,1971,0.0108
US,shweal992f,p0p50,1972,0.0115
US,shweal992f,p0p50,1973,0.0098
US,shweal992f,p0p50,1974,0.0073
US,shweal992f,p0p50,1975,0.0094
US,shweal992f,p0p50,1976,0.0099
US,shweal992f,p0p50,1977,0.0096
US,shweal992f,p0p50,1978,0.0091
US,shweal992f,p0p50,1979,0.0098
US,shweal992f,p0p50,1980,0.0104
US,shweal992f,p0p50,1981,0.0123
US,shweal992f,p0p50,1982,0.0156
US,shweal992f,p0p50,1983,0.0169
US,shweal992f,p0p50,1984,0.0142
US,shweal992f,p0p50,1985,0.0149
US,shweal992f,p0p50,1986,0.0155
US,shweal992f,p0p50,1987,0.0189
US,shweal992f,p0p50,1988,0.0178
US,shweal992f,p0p50,1989,0.0183
US,shweal992f,p0p50,1990,0.0166
US,shweal992f,p0p50,1991,0.0163
US,shweal992f,p0p50,1992,0.0133
US,shweal992f,p0p50,1993,0.0124
US,shweal992f,p0p50,1994,0.0106
US,shweal992f,p0p50,1995,0.0083
US,shweal992f,p0p50,1996,0.0072
US,shweal992f,p0p50,1997,0.004
US,shweal992f,p0p50,1998,0.0035
US,shweal992f,p0p50,1999,0.0049
US,shweal992f,p0p50,2000,0.005
US,shweal992f,p0p50,2001,0.0049
US,shweal992f,p0p50,2002,0.0051
US,shweal992f,p0p50,2003,0.0033
US,shweal992f,p0p50,2004,0.0027
US,shweal992f,p0p50,2005,0.0037
US,shweal992f,p0p50,2006,0.0014
US,shweal992f,p0p50,2007,-0.0041
US,shweal992f,p0p50,2008,-0.0122
US,shweal992f,p0p50,2009,-0.0186
US,shweal992f,p0p50,2010,-0.0179
US,shweal992f,p0p50,2011,-0.0175
US,shweal992f,p0p50,2012,-0.0162
US,shweal992f,p0p50,2013,-0.0121
US,shweal992f,p0p50,2014,-0.0081
US,shweal992f,p0p50,2015,-0.0062
US,shweal992f,p0p50,2016,-0.0045
US,shweal992f,p0p50,2017,-4e-4
US,shweal992f,p0p50,2018,6e-4
US,shweal992f,p0p50,2019,0.0021
US,shweal992f,p50p90,1962,0.3937
US,shweal992f,p50p90,1963,0.3958
US,shweal992f,p50p90,1964,0.3977
US,shweal992f,p50p90,1965,0.4047
US,shweal992f,p50p90,1966,0.4113
US,shweal992f,p50p90,1967,0.426
US,shweal992f,p50p90,1968,0.4234
US,shweal992f,p50p90,1969,0.4385
US,shweal992f,p50p90,1970,0.4346
US,shweal992f,p50p90,1971,0.4357
US,shweal992f,p50p90,1972,0.4212
US,shweal992f,p50p90,1973,0.4396
US,shweal992f,p50p90,1974,0.4516
US,shweal992f,p50p90,1975,0.4487
US,shweal992f,p50p90,1976,0.4594
US,shweal992f,p50p90,1977,0.4605
US,shweal992f,p50p90,1978,0.4699
US,shweal992f,p50p90,1979,0.4558
US,shweal992f,p50p90,1980,0.454
US,shweal992f,p50p90,1981,0.4563
US,shweal992f,p50p90,1982,0.4679
US,shweal992f,p50p90,1983,0.4724
US,shweal992f,p50p90,1984,0.4648
US,shweal992f,p50p90,1985,0.4696
US,shweal992f,p50p90,1986,0.4658
US,shweal992f,p50p90,1987,0.457
US,shweal992f,p50p90,1988,0.4417
US,shweal992f,p50p90,1989,0.4345
US,shweal992f,p50p90,1990,0.4361
US,shweal992f,p50p90,1991,0.4348
US,shweal992f,p50p90,1992,0.4179
US,shweal992f,p50p90,1993,0.414
US,shweal992f,p50p90,1994,0.4131
US,shweal992f,p50p90,1995,0.412
US,shweal992f,p50p90,1996,0.4004
US,shweal992f,p50p90,1997,0.3983
US,shweal992f,p50p90,1998,0.3884
US,shweal992f,p50p90,1999,0.3865
US,shweal992f,p50p90,2000,0.3827
US,shweal992f,p50p90,2001,0.3971
US,shweal992f,p50p90,2002,0.3943
US,shweal992f,p50p90,2003,0.3943
US,shweal992f,p50p90,2004,0.3887
US,shweal992f,p50p90,2005,0.3843
US,shweal992f,p50p90,2006,0.3866
US,shweal992f,p50p90,2007,0.379
US,shweal992f,p50p90,2008,0.3642
US,shweal992f,p50p90,2009,0.3641
US,shweal992f,p50p90,2010,0.3416
