Participant_ID,Preferred_Video_Category,Video_ID,Shown_Video_Category,ShownEqualsPreferred,Gaze_ Duration,EEG_Attention_Measure,Engagement_Rating,Content_Recall,Viral
0,Music,0,Art,0,37.9,0.9,3,0,1
0,Music,1,Comedy,0,57.2,2.9,2,0,1
0,Music,2,Art,0,21.8,0.7,4,1,1
0,Music,3,Lifestyle,0,58.6,1.1,3,1,0
0,Music,4,Music,1,1.0,1.3,10,0,1
0,Music,5,Comedy,0,10.0,2.2,10,0,1
0,Music,6,Music,1,1.0,3.9,8,0,1
0,Music,7,Documentary,0,30.25868906,1.334271528,8,0,1
0,Music,8,DIY,0,37.92621663,0.890046601,3,0,1
0,Music,9,Art,0,38.41496685,0.926310309,7,0,1
0,Music,10,Documentary,0,33.28289411,1.981036422,3,1,1
0,Music,11,Art,0,6.691225539,1.558968824,10,0,1
0,Music,12,Comedy,0,38.41496685,0.926310309,7,0,1
0,Music,13,Food,0,33.28289411,1.981036422,3,1,1
0,Music,14,Documentary,0,58.55655354,1.081928351,3,1,0
0,Music,15,Comedy,0,5.388646787,0.557656063,10,1,1
0,Music,16,Educational,0,57.18870455,2.914080083,2,0,1
0,Music,17,Travel,0,21.7537573,0.744180285,4,1,1
0,Music,18,Music,1,1,4.080210609,7,0,1
0,Music,19,Art,0,30.25868906,1.334271528,8,0,1
1,Music,0,Art,0,44.99995977,1.316351922,7,1,0
1,Music,1,Comedy,0,7.48750089,1.313325827,2,1,1
1,Music,2,Art,0,35.06906536,0.962136139,2,0,0
1,Music,3,Lifestyle,0,49.12083394,0.686376609,7,0,1
1,Music,4,Music,1,42.31221585,2.013795487,9,0,1
1,Music,5,Comedy,0,15.93633222,2.278354882,3,0,0
1,Music,6,Music,1,1,3.625010823,7,0,1
1,Music,7,Documentary,0,41.43872564,1.27927769,6,1,0
1,Music,8,DIY,0,6.891368661,2.773301005,4,0,1
1,Music,9,Art,0,19.40339371,2.975889552,7,1,0
1,Music,10,Documentary,0,37.27131411,2.913138268,9,1,1
1,Music,11,Art,0,41.43872564,1.27927769,6,1,0
1,Music,12,Comedy,0,35.06906536,0.962136139,2,0,0
1,Music,13,Food,0,44.99995977,1.316351922,7,1,0
1,Music,14,Documentary,0,7.48750089,1.313325827,2,1,1
1,Music,15,Comedy,0,37.27131411,2.913138268,9,1,1
1,Music,16,Educational,0,49.12083394,0.686376609,7,0,1
1,Music,17,Travel,0,47.47346231,0.996789204,8,0,1
1,Music,18,Music,1,8.100852116,3.581392043,6,0,0
1,Music,19,Art,0,22.34650053,2.788411695,5,0,0
2,Food,0,Art,0,1,3.568885843,10,0,1
2,Food,1,Comedy,0,43.21317132,2.701169598,10,1,1
2,Food,2,Art,0,34.69126002,1.007653062,7,0,1
2,Food,3,Lifestyle,0,13.90451016,2.375063454,8,0,1
2,Food,4,Music,0,29.1635076,1.004298006,7,0,1
2,Food,5,Comedy,0,51.69026033,2.304323803,7,1,0
2,Food,6,Music,0,14.12001318,1.839146564,10,1,1
2,Food,7,Documentary,0,22.88508271,2.324015446,8,1,0
2,Food,8,DIY,0,48.48157041,2.830650536,6,0,0
2,Food,9,Art,0,2.685546719,3.790843691,10,1,1
2,Food,10,Documentary,0,9.757532409,1.969831068,8,0,1
2,Food,11,Art,0,22.88508271,2.324015446,8,1,0
2,Food,12,Comedy,0,42.07321817,2.700769273,6,0,0
2,Food,13,Food,1,40.07165721,3.286615127,9,0,0
2,Food,14,Documentary,0,32.1587578,1.806832073,10,0,1
2,Food,15,Comedy,0,43.21317132,2.701169598,10,1,1
2,Food,16,Educational,0,34.69126002,1.007653062,7,0,1
2,Food,17,Travel,0,9.034230544,2.612896135,8,1,1
2,Food,18,Music,0,32.1587578,1.806832073,10,0,1
2,Food,19,Art,0,29.1635076,1.004298006,7,0,1
3,Educational,0,Art,0,25.94086822,1.202212282,10,0,1
3,Educational,1,Comedy,0,24.59638109,2.767071104,1,0,0
3,Educational,2,Art,0,18.84802627,1.743121265,1,1,1
