studentid,assignment_type,assignment_number,pre_ai_grade,post_ai_grade
1,Computer Essay,1,77.1,91.2
1,Blue Book Essay,1,79.7,76.2
2,Computer Essay,1,73.5,81.6
2,Blue Book Essay,1,70.7,73.5
3,Computer Essay,1,80.4,81.6
3,Blue Book Essay,1,80.7,81.9
4,Computer Essay,1,91.5,95.2
4,Blue Book Essay,1,100,104.9
5,Computer Essay,1,71.9,79.4
5,Blue Book Essay,1,79.5,79.4
6,Computer Essay,1,73.7,72.9
6,Blue Book Essay,1,72.6,73.7
7,Computer Essay,1,94.2,95.1
7,Blue Book Essay,1,84.7,83.1
8,Computer Essay,1,86.6,85.5
8,Blue Book Essay,1,74.1,75.7
9,Computer Essay,1,76.1,75
9,Blue Book Essay,1,69,75.1
10,Computer Essay,1,71.2,73
10,Blue Book Essay,1,68.4,67.4
11,Computer Essay,1,63.3,64.5
11,Blue Book Essay,1,72.9,71.7
12,Computer Essay,1,61.9,64.4
12,Blue Book Essay,1,73.7,73.9
13,Computer Essay,1,84.7,80.6
13,Blue Book Essay,1,71.1,69.5
14,Computer Essay,1,53.6,57.7
14,Blue Book Essay,1,56.1,61.5
15,Computer Essay,1,50,50.3
15,Blue Book Essay,1,64,67.8
16,Computer Essay,1,69.1,79.9
16,Blue Book Essay,1,70.7,71
17,Computer Essay,1,66.1,75.1
17,Blue Book Essay,1,70.5,71.6
18,Computer Essay,1,75.7,78
18,Blue Book Essay,1,84.3,95.5
19,Computer Essay,1,63.7,64.6
19,Blue Book Essay,1,57.8,56.2
20,Computer Essay,1,63.1,68.8
20,Blue Book Essay,1,56.6,49.9
21,Computer Essay,1,85.4,84.1
21,Blue Book Essay,1,76.5,83.6
22,Computer Essay,1,74.7,75.8
22,Blue Book Essay,1,73.9,77.7
23,Computer Essay,1,73.7,84.7
23,Blue Book Essay,1,68.9,76.4
24,Computer Essay,1,57.6,58.8
24,Blue Book Essay,1,59.9,54.3
25,Computer Essay,1,66.3,63.8
25,Blue Book Essay,1,65.1,64.8
26,Computer Essay,1,83.1,85.8
26,Blue Book Essay,1,78.3,84.6
27,Computer Essay,1,68.5,73.7
27,Blue Book Essay,1,67.1,68.5
28,Computer Essay,1,80.2,92.7
28,Blue Book Essay,1,79.7,80.6
29,Computer Essay,1,72.2,86.8
29,Blue Book Essay,1,65.3,64.9
30,Computer Essay,1,80.5,86.2
30,Blue Book Essay,1,67.6,68.7
31,Computer Essay,1,63.7,67.4
31,Blue Book Essay,1,65.6,71.3
32,Computer Essay,1,94.1,94.6
32,Blue Book Essay,1,89.7,96.6
33,Computer Essay,1,81.5,82.1
33,Blue Book Essay,1,76,76.9
34,Computer Essay,1,65.5,72.2
34,Blue Book Essay,1,58.3,52.3
35,Computer Essay,1,83.2,88.8
35,Blue Book Essay,1,85.5,89.2
36,Computer Essay,1,54.7,55.8
36,Blue Book Essay,1,54.5,58.1
37,Computer Essay,1,83.5,87.2
37,Blue Book Essay,1,73.8,74.2
38,Computer Essay,1,52.5,63.8
38,Blue Book Essay,1,58.8,53.1
39,Computer Essay,1,67.1,65.7
39,Blue Book Essay,1,67.6,69.3
40,Computer Essay,1,77.4,82.7
40,Blue Book Essay,1,77.3,74.3
41,Computer Essay,1,80.3,82.4
