"","GEOID","county","income","bachelors","poverty_total","poverty","total"
"1","01001","Autauga County, Alabama",68315,6726,58291,6630,58761
"2","01003","Baldwin County, Alabama",71039,33474,229539,23445,233420
"3","01005","Barbour County, Alabama",39712,1167,21851,5280,24877
"4","01007","Bibb County, Alabama",50669,1047,20836,4297,22251
"5","01009","Blount County, Alabama",57440,3840,58399,8277,59077
"6","01011","Bullock County, Alabama",36136,492,9616,2687,10328
"7","01013","Butler County, Alabama",44429,1029,18652,3937,18981
"8","01015","Calhoun County, Alabama",54339,9098,112350,20267,116162
"9","01017","Chambers County, Alabama",48805,2273,34008,6080,34612
"10","01019","Cherokee County, Alabama",46621,1530,24658,3516,25069
"11","01021","Chilton County, Alabama",62471,2504,44441,6422,45140
"12","01023","Choctaw County, Alabama",43299,873,12475,2388,12669
"13","01025","Clarke County, Alabama",47549,1346,22687,5073,23058
"14","01027","Clay County, Alabama",48074,926,13887,2440,14209
"15","01029","Cleburne County, Alabama",51553,1172,14978,1931,15144
"16","01031","Coffee County, Alabama",62199,4786,52713,8592,53559
"17","01033","Colbert County, Alabama",56149,4578,56667,8998,57270
"18","01035","Conecuh County, Alabama",39888,642,11514,2122,11576
"19","01037","Coosa County, Alabama",52279,578,9969,1102,10329
"20","01039","Covington County, Alabama",48772,2585,36847,6921,37542
"21","01041","Crenshaw County, Alabama",48557,1092,12895,1916,13205
"22","01043","Cullman County, Alabama",58119,7463,87201,11364,88284
"23","01045","Dale County, Alabama",52813,4360,48342,8469,49455
"24","01047","Dallas County, Alabama",37180,2633,37774,10230,38326
"25","01049","DeKalb County, Alabama",47920,3996,70473,14251,71680
"26","01051","Elmore County, Alabama",73258,9637,83185,7986,87694
"27","01053","Escambia County, Alabama",41153,2168,34154,7449,36755
"28","01055","Etowah County, Alabama",52177,7840,101767,16146,103348
"29","01057","Fayette County, Alabama",45650,943,15973,3543,16297
"30","01059","Franklin County, Alabama",47359,2204,31558,5246,32011
"31","01061","Geneva County, Alabama",47608,1842,26306,5480,26647
"32","01063","Greene County, Alabama",32796,579,7612,2504,7706
"33","01065","Hale County, Alabama",35851,1079,14448,3613,14742
"34","01067","Henry County, Alabama",58395,1758,16807,2608,17282
"35","01069","Houston County, Alabama",55064,10616,105841,18878,107040
"36","01071","Jackson County, Alabama",46748,3874,52008,9680,52618
"37","01073","Jefferson County, Alabama",63595,96805,654506,103894,672265
"38","01075","Lamar County, Alabama",49565,606,13736,2107,13885
"39","01077","Lauderdale County, Alabama",56081,10372,91894,12188,94329
"40","01079","Lawrence County, Alabama",54786,2364,32725,5182,33116
"41","01081","Lee County, Alabama",59288,23707,167593,31003,175126
"42","01083","Limestone County, Alabama",80146,13776,100831,11287,104199
"43","01085","Lowndes County, Alabama",33125,739,9997,2552,10153
"44","01087","Macon County, Alabama",41206,1275,16499,4127,19198
"45","01089","Madison County, Alabama",78058,71617,378398,40440,389781
"46","01091","Marengo County, Alabama",42975,1654,18939,4063,19180
"47","01093","Marion County, Alabama",49743,1476,28621,4707,29203
"48","01095","Marshall County, Alabama",58272,9437,96335,15992,97923
"49","01097","Mobile County, Alabama",55352,43806,406199,71353,413878
"50","01099","Monroe County, Alabama",39965,1072,19562,4472,19816
"51","01101","Montgomery County, Alabama",56707,29456,219231,42877,228132
"52","01103","Morgan County, Alabama",61588,13494,120811,16579,123102
"53","01105","Perry County, Alabama",32332,537,7547,2478,8479
"54","01107","Pickens County, Alabama",45339,1229,17301,3864,18925
"55","01109","Pike County, Alabama",42616,3024,30639,7242,32997
"56","01111","Randolph County, Alabama",49879,1892,21539,4277,22179
"57","01113","Russell County, Alabama",47420,4088,58181,12816,58849
"58","01115","St. Clair County, Alabama",73218,8608,89634,9786,91719
"59","01117","Shelby County, Alabama",90618,45813,220029,15080,223916
"60","01119","Sumter County, Alabama",31726,901,10815,3285,12196
"61","01121","Talladega County, Alabama",52457,5623,77226,14436,81105
"62","01123","Tallapoosa County, Alabama",53282,3380,40523,6826,41251
"63","01125","Tuscaloosa County, Alabama",61645,25838,218123,36412,231558
"64","01127","Walker County, Alabama",52987,4268,63595,10437,64978
"65","01129","Washington County, Alabama",51184,707,15282,2415,15434
"66","01131","Wilcox County, Alabama",38208,554,10219,2735,10441
"67","01133","Winston County, Alabama",49494,1384,23175,4217,23655
"68","02013","Aleutians East Borough, Alaska",79961,339,3395,429,3407
"69","02016","Aleutians West Census Area, Alaska",100662,508,4987,478,5219
"70","02020","Anchorage Municipality, Alaska",95731,44340,284386,27415,290674
"71","02050","Bethel Census Area, Alaska",64094,532,18158,4586,18538
"72","02060","Bristol Bay Borough, Alaska",94167,139,837,66,854
"73","02063","Chugach Census Area, Alaska",83068,1001,6871,339,7000
"74","02066","Copper River Census Area, Alaska",70606,341,2570,289,2614
"75","02068","Denali Borough, Alaska",87292,229,2052,150,2101
"76","02070","Dillingham Census Area, Alaska",69412,329,4814,765,4854
"77","02090","Fairbanks North Star Borough, Alaska",81655,12039,92321,6356,96299
"78","02100","Haines Borough, Alaska",68276,238,2071,121,2079
"79","02105","Hoonah-Angoon Census Area, Alaska",62344,375,2329,269,2329
"80","02110","Juneau City and Borough, Alaska",95711,5922,31517,2176,32108
"81","02122","Kenai Peninsula Borough, Alaska",76272,7313,57908,7265,59235
"82","02130","Ketchikan Gateway Borough, Alaska",82763,1908,13735,1329,13910
"83","02150","Kodiak Island Borough, Alaska",91138,1655,12777,1027,13065
"84","02158","Kusilvak Census Area, Alaska",42663,161,8278,2836,8372
"85","02164","Lake and Peninsula Borough, Alaska",61607,56,995,151,999
"86","02170","Matanuska-Susitna Borough, Alaska",86435,10907,105794,10810,108661
"87","02180","Nome Census Area, Alaska",70121,433,9654,2041,10018
"88","02185","North Slope Borough, Alaska",83472,725,10793,857,10924
"89","02188","Northwest Arctic Borough, Alaska",77647,425,7604,1405,7682
