student_id,writing_ability,group_assignment,year
1,80,AI No Training,4
2,73.6,AI No Training,4
3,81.5,AI No Training,1
4,90.2,AI Training,4
5,72.7,AI No Training,2
6,72.7,No AI,4
7,90.8,No AI,1
8,82.7,No AI,4
9,70.3,No AI,2
10,80.4,No AI,4
11,70.4,No AI,3
12,70.3,No AI,2
13,77.4,No AI,3
14,55.9,AI Training,3
15,57.8,No AI,2
16,69.4,AI No Training,2
17,64.9,AI No Training,2
18,78.1,AI Training,3
19,65.9,No AI,2
20,60.9,AI No Training,3
21,89.7,AI Training,3
22,72.7,AI Training,1
23,75.7,AI Training,4
24,60.8,No AI,4
25,69.6,No AI,3
26,76.1,AI Training,2
27,63.5,AI Training,4
28,78.8,AI No Training,3
29,69,AI No Training,1
30,72.1,No AI,4
31,69,AI Training,2
32,93.5,No AI,3
33,74.9,No AI,3
34,64.4,AI No Training,2
35,83.2,AI No Training,4
36,62.8,No AI,3
37,77.1,No AI,3
38,55.4,AI No Training,3
39,61.7,No AI,3
40,77,AI No Training,3
41,82.4,No AI,4
42,76.7,AI No Training,4
43,73.8,AI No Training,2
44,72,No AI,4
45,60.2,AI No Training,3
46,67.8,No AI,3
47,70.4,No AI,1
48,85.6,AI Training,3
49,78.4,No AI,2
50,57.4,AI Training,1
51,78.2,No AI,1
52,71.1,AI Training,2
53,68.2,AI Training,4
54,81.1,AI No Training,3
55,85.3,AI No Training,2
56,84.3,AI No Training,4
57,66.6,AI No Training,2
58,71.9,AI Training,2
59,78.3,AI Training,2
60,84.8,AI Training,2
61,70.2,No AI,2
62,73.1,AI Training,1
63,63.9,AI Training,2
64,63,No AI,3
65,83.1,No AI,2
66,88.6,AI Training,3
67,74.3,AI No Training,2
68,85,AI Training,4
69,78.6,No AI,1
70,68.5,AI Training,1
71,78.6,No AI,1
72,90.4,No AI,2
73,74.6,No AI,2
74,90.6,AI Training,1
75,50,AI No Training,3
76,83.2,AI No Training,4
77,75.9,AI No Training,2
78,72,AI Training,2
79,75.9,AI No Training,2
80,55.1,AI Training,3
81,72.8,AI No Training,3
82,78.6,AI No Training,4
83,89.8,AI No Training,1
84,69.8,No AI,1
85,66.9,AI Training,3
86,70,AI No Training,4
87,84.2,No AI,1
88,78.3,AI Training,1
89,69.7,AI No Training,4
90,80.1,AI No Training,4
91,76,AI Training,3
92,84.7,AI No Training,1
93,68,No AI,1
94,71.7,AI Training,2
95,71.1,AI No Training,1
96,60.4,AI No Training,3
97,78,No AI,1
98,77.6,AI Training,1
99,75.1,AI No Training,3
100,72.7,AI No Training,2
101,60.8,AI Training,1
102,70.8,AI Training,3
103,71.6,No AI,3
104,67,No AI,4
105,73.4,No AI,1
106,79,AI Training,4
107,93.9,No AI,4
108,76.7,AI No Training,2
109,77.6,AI Training,2
110,74.3,AI Training,4
111,55.8,AI No Training,3
112,74.7,AI Training,1
113,75.6,No AI,4
114,99.6,AI Training,2
115,73.1,No AI,1
116,78,AI No Training,4
117,74.7,AI Training,4
118,63.3,No AI,1
119,86.4,No AI,1
120,82.5,AI Training,2
121,82.9,AI Training,2
122,65.9,AI No Training,2
123,89,AI Training,1
124,61,AI No Training,2
125,80.9,No AI,3
126,96.9,AI No Training,1
127,65.1,No AI,4
128,69.3,AI Training,3
129,76,AI No Training,1
130,70,AI No Training,4
131,59.5,AI No Training,4
132,75.7,AI Training,4
133,64.4,No AI,2
134,79.7,AI No Training,3
135,65.8,AI No Training,1
136,90.5,AI No Training,3
137,67.2,No AI,3
138,71.8,AI Training,1
139,83.1,AI Training,2
140,62.7,AI No Training,3
141,77.3,AI Training,1
142,88.1,AI Training,1
143,58.9,AI Training,1
144,76.8,No AI,2
145,77.6,AI No Training,3
146,82.8,AI No Training,4
147,62.6,AI No Training,2
148,61.8,AI Training,4
149,80.2,AI Training,3
150,78,AI Training,1
151,77.5,AI No Training,3
152,78.5,No AI,3
153,68.2,AI Training,1
154,77.3,AI Training,1
155,77.9,No AI,2
156,67.9,AI Training,2
157,93.7,AI Training,2
158,79.7,AI No Training,3
159,63.1,AI No Training,3
160,81.6,AI No Training,4
161,65.3,No AI,4
162,82.9,AI No Training,3
163,86.6,AI Training,2
164,66.8,No AI,1
165,84.6,AI No Training,2
166,79.1,AI No Training,4
167,83.2,AI No Training,1
168,94,AI Training,1
169,72.5,AI No Training,2
170,67.5,AI No Training,1
171,66.1,AI Training,1
172,66.8,AI No Training,1
173,74.2,No AI,4
174,78.4,AI No Training,2
175,77.8,No AI,3
176,83.3,No AI,4
177,75.1,AI No Training,2
178,89.5,AI No Training,4
179,72.4,AI Training,3
180,100,AI No Training,3
181,81.3,AI No Training,2
182,66.4,AI No Training,1
183,64.3,No AI,3
184,79.8,AI No Training,2
185,72.8,No AI,1
186,82.1,AI Training,2
187,79.7,No AI,3
188,74.3,AI No Training,3
189,66.5,No AI,3
190,59.9,AI Training,4
191,70.5,AI No Training,2
192,83.6,AI No Training,3
193,77.1,No AI,3
194,62.5,AI Training,1
195,76.7,No AI,3
196,78.9,AI Training,2
197,66.2,No AI,3
198,76.5,No AI,2
199,75.6,No AI,2
200,63.6,AI No Training,2
201,78.6,AI No Training,2
202,80.6,No AI,1
203,85.8,AI Training,1
204,85.5,AI No Training,2
205,61.2,AI No Training,1
206,65.6,AI No Training,1
207,80.2,AI No Training,1
208,80.1,AI No Training,3
209,80.2,No AI,1
210,100,No AI,3
211,80.7,AI Training,2
212,86.4,AI Training,3
213,84.5,AI No Training,4
214,81.5,No AI,3
215,71.8,AI No Training,1
216,82.6,AI No Training,3
217,67.3,No AI,2
218,72.6,No AI,1
219,70.1,AI Training,3
220,75.8,AI No Training,3
221,98.1,No AI,2
222,56.3,No AI,3
223,81.9,No AI,2
224,58.9,AI Training,2
225,70.3,No AI,3
226,85.9,No AI,1
227,75.6,AI Training,2
228,64.2,No AI,3
229,67.8,AI No Training,4
230,81.8,No AI,2
231,67.7,No AI,4
232,77.2,No AI,2
233,75.5,AI Training,2
234,68.5,AI Training,1
235,96.4,AI Training,3
236,81.3,AI No Training,1
237,54.7,AI Training,4
238,76.9,No AI,1
239,68.4,No AI,2
240,83.5,AI Training,1
241,67.1,No AI,1
242,73.9,No AI,4
243,80,No AI,2
244,83.7,No AI,2
245,63,No AI,1
246,71.7,AI No Training,2
247,70.3,AI No Training,3
248,68.5,AI Training,2
249,92.7,AI Training,1
250,79,AI No Training,1
251,62.4,No AI,3
252,84.2,AI No Training,3
253,96.2,AI No Training,2
254,85.3,No AI,2
255,59.8,AI No Training,1
256,70.2,AI No Training,1
257,87.7,AI No Training,2
258,67.9,AI No Training,1
259,79.4,No AI,1
260,82.7,AI Training,2
261,65.7,AI Training,1
262,74.4,No AI,4
263,50,AI Training,1
264,64.8,AI No Training,4
265,72.5,AI Training,2
266,62.5,AI Training,1
267,91.3,AI No Training,4
268,60.7,No AI,3
269,70.6,No AI,1
270,76.3,AI No Training,2
271,89.4,AI No Training,1
272,60.6,No AI,2
273,86.6,No AI,3
274,75.1,AI Training,1
275,65.2,AI Training,1
276,79.6,AI No Training,4
277,77,No AI,3
278,69,No AI,3
279,75.7,No AI,1
280,71.1,AI Training,4
281,76.1,No AI,4
282,81.6,AI No Training,4
283,90.9,No AI,1
284,62.6,AI No Training,4
285,96.3,AI No Training,3
286,55.5,AI Training,2
287,73.5,No AI,1
288,80.9,No AI,2
289,77.8,No AI,2
290,68.8,AI Training,4
291,72.9,AI Training,1
292,70.1,AI No Training,4
293,69.1,AI No Training,1
294,83.5,AI No Training,3
295,78.6,No AI,4
296,68.1,AI Training,2
297,84,AI No Training,4
298,78.1,AI No Training,1
299,83.1,AI No Training,3
300,81.3,No AI,3
301,66.7,No AI,4
302,69.4,AI Training,2
303,82.5,No AI,2
304,81.1,AI No Training,2
305,74.8,No AI,2
306,76.2,AI No Training,2
307,87.8,No AI,3
308,69.1,AI No Training,2
309,80.5,AI Training,1
310,73,No AI,1
311,72.8,AI No Training,4
312,86,AI No Training,4
313,83.3,AI No Training,2
314,83.1,AI Training,4
315,88.1,AI Training,4
316,75.2,No AI,1
317,81.8,No AI,4
318,71.9,No AI,3
